,Eroded Material,Sample preparation,Material Treatment,Erodent,Shape,Size (µm),Size range (µm),Size (mesh),Velocity (m/s),V Pressure (PSI),Vair (m/s),V KinE (m/s),Incident angle,Total Erodent mass (g),Erodent flux (g/(cm^2*s)),Particle Flow rate (g/minute),Dust concentration (mg/ft^3),Working Distance (mm),Nozzle Diameter (mm),Nozzle length (mm),Carrier Gas,Temperature (°C),Erosion Rate (mm^3/g),ASTM G76 Mentioned?,Publication Year,Source,Test type,Quality score,Note,Column1,Column2,Unnamed: 34,Target Hardness (GPa),Target Hardness from Vickers,Target Hardness from Rockwell,Target Density (kg/m^3),Target Elastic Modulus (GPa),Target Poisson Ratio,Target Ductile/Brittle,Target Thermal conductivity (W/m*K),Target Yield Strength (MPa),Target Tensile Strength (MPa),Target Fracture toughness (MPa*m^0.5),Target Melting Temp (°C),Erodent Density (kg/m^3),Erodent Hardness (GPa),Erodent Melting Temp (°C),Erodent Young's Modulus (GPa),Erodent Poisson's Ratio,Erodent Fracture toughness (MPa*m^0.5),Erosion Rate (mg/g)
187,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,50,,,,30,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.119
188,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,50,,,,45,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.125
189,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,50,,,,60,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.102
190,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,50,,,,75,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.083
191,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,50,,,,90,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.066
192,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,75,,,,15,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.118
193,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,75,,,,30,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.161
194,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,75,,,,45,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.158
195,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,75,,,,60,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.14
196,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,75,,,,75,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.119
197,Ti-6Al-4V,Blown with compressed air,,Garnet,Angular,125,,120,75,,,,90,,,,,,5,50,Air,RT,,No,2014,11,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,4000,17.7,1283,175,0.27,1,0.097
198,Ti-6Al-4V,Cleaned and polished,,SiO2,,100,,,10,,,,25,1500,,100,,,,,,RT,,No,2019,12,Gas Blast,5,"Tests done for 15 mins, 1500g total",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2425,11.5,1830,70,0.17,0.73,0.0021
199,Ti-6Al-4V,Cleaned and polished,,SiO2,,100,,,10,,,,45,1500,,100,,,,,,RT,,No,2019,12,Gas Blast,5,"Tests done for 15 mins, 1500g total",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2425,11.5,1830,70,0.17,0.73,0.0037
200,Ti-6Al-4V,Cleaned and polished,,SiO2,,100,,,10,,,,90,1500,,100,,,,,,RT,,No,2019,12,Gas Blast,5,"Tests done for 15 mins, 1500g total",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2425,11.5,1830,70,0.17,0.73,0.0019
201,Ti-6Al-4V,Cleaned and polished,,SiO2,,100,,,17.5,,,,25,1500,,100,,,,,,RT,,No,2019,12,Gas Blast,5,"Tests done for 15 mins, 1500g total",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2425,11.5,1830,70,0.17,0.73,0.0079
202,Ti-6Al-4V,Cleaned and polished,,SiO2,,100,,,17.5,,,,45,1500,,100,,,,,,RT,,No,2019,12,Gas Blast,5,"Tests done for 15 mins, 1500g total",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2425,11.5,1830,70,0.17,0.73,0.0158
203,Ti-6Al-4V,Cleaned and polished,,SiO2,,100,,,17.5,,,,90,1500,,100,,,,,,RT,,No,2019,12,Gas Blast,5,"Tests done for 15 mins, 1500g total",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2425,11.5,1830,70,0.17,0.73,0.0074
204,Ti-6Al-4V,Cleaned and polished,,SiO2,,100,,,25,,,,25,1500,,100,,,,,,RT,,No,2019,12,Gas Blast,5,"Tests done for 15 mins, 1500g total",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2425,11.5,1830,70,0.17,0.73,0.0208
205,Ti-6Al-4V,Cleaned and polished,,SiO2,,100,,,25,,,,45,1500,,100,,,,,,RT,,No,2019,12,Gas Blast,5,"Tests done for 15 mins, 1500g total",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2425,11.5,1830,70,0.17,0.73,0.0369
206,Ti-6Al-4V,Cleaned and polished,,SiO2,,100,,,25,,,,90,1500,,100,,,,,,RT,,No,2019,12,Gas Blast,5,"Tests done for 15 mins, 1500g total",,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2425,11.5,1830,70,0.17,0.73,0.015
207,Ti-6Al-4V,Blown with compressed air,,Al2O3,,50,,,104,,,,20,,,6.5,,20,0.76,,Air,RT,0.285067873,No,2012,13,Gas Blast,4,all done at scan speed of 0.3mm/s,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,1.26
208,Ti-6Al-4V,Blown with compressed air,,Al2O3,,50,,,104,,,,30,,,6.5,,20,0.76,,Air,RT,0.271493213,No,2012,13,Gas Blast,4,Pressure was 400 Kpa for all,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,1.2
209,Ti-6Al-4V,Blown with compressed air,,Al2O3,,50,,,104,,,,45,,,6.5,,20,0.76,,Air,RT,0.219457014,No,2012,13,Gas Blast,4,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.97
210,Ti-6Al-4V,Blown with compressed air,,Al2O3,,50,,,104,,,,60,,,6.5,,20,0.76,,Air,RT,0.173076923,No,2012,13,Gas Blast,4,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.765
211,Ti-6Al-4V,Blown with compressed air,,Al2O3,,50,,,104,,,,90,,,6.5,,20,0.76,,Air,RT,0.147285068,No,2012,13,Gas Blast,4,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.651
212,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,229,,275,241,15,,,0.37,,65,10,,Air,243,,No,2018,14,Gas Blast,5,"KinE val 241 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,1.179
213,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,229,,275,241,20,,,0.37,,65,10,,Air,243,,No,2018,14,Gas Blast,5,"KinE val 241 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,1.143
214,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,229,,275,241,30,,,0.37,,65,10,,Air,243,,No,2018,14,Gas Blast,5,"KinE val 241 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,0.994
215,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,229,,275,241,45,,,0.37,,65,10,,Air,243,,No,2018,14,Gas Blast,5,"KinE val 241 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,0.667
216,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,229,,275,241,65,,,0.37,,65,10,,Air,243,,No,2018,14,Gas Blast,5,"KinE val 241 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,0.446
217,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,229,,275,241,75,,,0.37,,65,10,,Air,243,,No,2018,14,Gas Blast,5,"KinE val 241 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,0.452
218,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,229,,275,241,90,,,0.37,,65,10,,Air,243,,No,2018,14,Gas Blast,5,"KinE val 241 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,0.339
219,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,280,,350,312,10,,,0.37,,65,10,,Air,257,,No,2018,14,Gas Blast,5,"KinE val 312 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,1.708
220,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,280,,350,312,15,,,0.37,,65,10,,Air,257,,No,2018,14,Gas Blast,5,"KinE val 312 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,2.042
221,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,280,,350,312,20,,,0.37,,65,10,,Air,257,,No,2018,14,Gas Blast,5,"KinE val 312 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,2.113
222,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,280,,350,312,25,,,0.37,,65,10,,Air,257,,No,2018,14,Gas Blast,5,"KinE val 312 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,1.899
223,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,280,,350,312,30,,,0.37,,65,10,,Air,257,,No,2018,14,Gas Blast,5,"KinE val 312 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,1.839
224,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,280,,350,312,45,,,0.37,,65,10,,Air,257,,No,2018,14,Gas Blast,5,"KinE val 312 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,1.31
225,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,280,,350,312,65,,,0.37,,65,10,,Air,257,,No,2018,14,Gas Blast,5,"KinE val 312 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,0.863
226,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,280,,350,312,75,,,0.37,,65,10,,Air,257,,No,2018,14,Gas Blast,5,"KinE val 312 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,0.887
227,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,280,,350,312,90,,,0.37,,65,10,,Air,257,,No,2018,14,Gas Blast,5,"KinE val 312 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,0.762
228,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,324,,400,348,15,,,0.37,,65,10,,Air,293,,No,2018,14,Gas Blast,5,"KinE val 348 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,2.756
229,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,324,,400,348,20,,,0.37,,65,10,,Air,293,,No,2018,14,Gas Blast,5,"KinE val 348 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,2.851
230,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,324,,400,348,30,,,0.37,,65,10,,Air,293,,No,2018,14,Gas Blast,5,"KinE val 348 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,2.577
231,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,324,,400,348,45,,,0.37,,65,10,,Air,293,,No,2018,14,Gas Blast,5,"KinE val 348 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,2.101
232,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,324,,400,348,65,,,0.37,,65,10,,Air,293,,No,2018,14,Gas Blast,5,"KinE val 348 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,1.196
233,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,324,,400,348,75,,,0.37,,65,10,,Air,293,,No,2018,14,Gas Blast,5,"KinE val 348 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,1.125
234,"Ti-6Al-4V, Hufnagel",,,"Arizona Road Dust, Hufnagel",,10,,,324,,400,348,90,,,0.37,,65,10,,Air,293,,No,2018,14,Gas Blast,5,"KinE val 348 m/s. Using their particle velocity value, as this is more consistently reported.",,,,3.491,1,0,4430,114,0.342,D,6.8,830,900,103,1650,2650,10.98,1610,70,0.17,0.73,0.887
235,"Ti-6Al-4V, Lamellar",Cleaned in Acetone,,Al2O3,Spherical,200,,,33,,,,30,,,,,,3,,Air,RT,,Yes,2013,15,Gas Blast,5,,,,,3,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.018
236,"Ti-6Al-4V, Bimodal, 25% alpha",Cleaned in Acetone,,Al2O3,Spherical,300,,,33,,,,60,,,,,,3,,Air,RT,,Yes,2013,15,Gas Blast,5,,,,,2.7,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.018
237,"Ti-6Al-4V, Equiaxed",Cleaned in Acetone,,Al2O3,Spherical,400,,,33,,,,90,,,,,,3,,Air,RT,,Yes,2013,15,Gas Blast,5,,,,,2.49,0,1,4430,114,0.342,D,6.8,830,900,55,1650,3960,20.5,2054,370,0.22,4,0.012
238,"Ti-6Al-4V, Equiaxed",Cleaned in Acetone,,Al2O3,Spherical,300,,,47,,,,30,,,,,,3,,Air,RT,,Yes,2013,15,Gas Blast,5,,,,,2.49,0,1,4430,114,0.342,D,6.8,830,900,55,1650,3960,20.5,2054,370,0.22,4,0.041
239,"Ti-6Al-4V, Lamellar",Cleaned in Acetone,,Al2O3,Spherical,400,,,47,,,,60,,,,,,3,,Air,RT,,Yes,2013,15,Gas Blast,5,,,,,3,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.026
240,"Ti-6Al-4V, Bimodal, 25% alpha",Cleaned in Acetone,,Al2O3,Spherical,200,,,47,,,,90,,,,,,3,,Air,RT,,Yes,2013,15,Gas Blast,5,,,,,2.7,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.026
241,"Ti-6Al-4V, Bimodal, 25% alpha",Cleaned in Acetone,,Al2O3,Spherical,400,,,57,,,,30,,,,,,3,,Air,RT,,Yes,2013,15,Gas Blast,5,,,,,2.7,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.039
242,"Ti-6Al-4V, Equiaxed",Cleaned in Acetone,,Al2O3,Spherical,200,,,57,,,,60,,,,,,3,,Air,RT,,Yes,2013,15,Gas Blast,5,,,,,2.49,0,1,4430,114,0.342,D,6.8,830,900,55,1650,3960,20.5,2054,370,0.22,4,0.042
243,"Ti-6Al-4V, Lamellar",Cleaned in Acetone,,Al2O3,Spherical,300,,,57,,,,90,,,,,,3,,Air,RT,,Yes,2013,15,Gas Blast,5,,,,,3,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.026
244,"Ti-6Al-4V, Lamellar",Cleaned in Acetone,,Al2O3,Spherical,200,,,33,,,,30,,,,,,3,,Air,400,,Yes,2014,16,Gas Blast,5,,,,,3,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.013
245,"Ti-6Al-4V, Bimodal, 25% alpha",Cleaned in Acetone,,Al2O3,Spherical,300,,,33,,,,60,,,,,,3,,Air,400,,Yes,2014,16,Gas Blast,5,,,,,2.7,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.003
246,"Ti-6Al-4V, Equiaxed",Cleaned in Acetone,,Al2O3,Spherical,400,,,33,,,,90,,,,,,3,,Air,400,,Yes,2014,16,Gas Blast,5,,,,,2.49,0,1,4430,114,0.342,D,6.8,830,900,55,1650,3960,20.5,2054,370,0.22,4,0.001
247,"Ti-6Al-4V, Equiaxed",Cleaned in Acetone,,Al2O3,Spherical,300,,,47,,,,30,,,,,,3,,Air,400,,Yes,2014,16,Gas Blast,5,,,,,2.49,0,1,4430,114,0.342,D,6.8,830,900,55,1650,3960,20.5,2054,370,0.22,4,0.045
248,"Ti-6Al-4V, Lamellar",Cleaned in Acetone,,Al2O3,Spherical,400,,,47,,,,60,,,,,,3,,Air,400,,Yes,2014,16,Gas Blast,5,,,,,3,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.026
249,"Ti-6Al-4V, Bimodal, 25% alpha",Cleaned in Acetone,,Al2O3,Spherical,200,,,47,,,,90,,,,,,3,,Air,400,,Yes,2014,16,Gas Blast,5,,,,,2.7,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.013
250,"Ti-6Al-4V, Bimodal, 25% alpha",Cleaned in Acetone,,Al2O3,Spherical,400,,,57,,,,30,,,,,,3,,Air,400,,Yes,2014,16,Gas Blast,5,,,,,2.7,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.053
251,"Ti-6Al-4V, Equiaxed",Cleaned in Acetone,,Al2O3,Spherical,200,,,57,,,,60,,,,,,3,,Air,400,,Yes,2014,16,Gas Blast,5,,,,,2.49,0,1,4430,114,0.342,D,6.8,830,900,55,1650,3960,20.5,2054,370,0.22,4,0.055
252,"Ti-6Al-4V, Lamellar",Cleaned in Acetone,,Al2O3,Spherical,300,,,57,,,,90,,,,,,3,,Air,400,,Yes,2014,16,Gas Blast,5,,,,,3,0,1,4430,114,0.342,D,6.8,830,900,103,1650,3960,20.5,2054,370,0.22,4,0.034
253,"Ti-6Al-4V, Bimodal, 10% alpha",Cleaned in Acetone,,Al2O3,Spherical,200,,,33,,,,30,,,,,,3,,Air,RT,,No,2015,17,Gas Blast,5,,,,,2.9,0,1,4430,114,0.342,D,6.8,747,943,103,1650,3960,20.5,2054,370,0.22,4,0.049
254,"Ti-6Al-4V, Bimodal, 10% alpha",Cleaned in Acetone,,Al2O3,Spherical,300,,,47,,,,60,,,,,,3,,Air,RT,,No,2015,17,Gas Blast,5,,,,,2.9,0,1,4430,114,0.342,D,6.8,747,943,103,1650,3960,20.5,2054,370,0.22,4,0.067
255,"Ti-6Al-4V, Bimodal, 10% alpha",Cleaned in Acetone,,Al2O3,Spherical,400,,,57,,,,90,,,,,,3,,Air,RT,,No,2015,17,Gas Blast,5,,,,,2.9,0,1,4430,114,0.342,D,6.8,747,943,103,1650,3960,20.5,2054,370,0.22,4,0.068
256,"Ti-6Al-4V, Bimodal, 20% alpha",Cleaned in Acetone,,Al2O3,Spherical,400,,,33,,,,60,,,,,,3,,Air,RT,,No,2015,17,Gas Blast,5,,,,,2.7,0,1,4430,114,0.342,D,6.8,764,959,103,1650,3960,20.5,2054,370,0.22,4,0.043
257,"Ti-6Al-4V, Bimodal, 20% alpha",Cleaned in Acetone,,Al2O3,Spherical,200,,,47,,,,90,,,,,,3,,Air,RT,,No,2015,17,Gas Blast,5,,,,,2.7,0,1,4430,114,0.342,D,6.8,764,959,103,1650,3960,20.5,2054,370,0.22,4,0.061
258,"Ti-6Al-4V, Bimodal, 20% alpha",Cleaned in Acetone,,Al2O3,Spherical,300,,,57,,,,30,,,,,,3,,Air,RT,,No,2015,17,Gas Blast,5,,,,,2.7,0,1,4430,114,0.342,D,6.8,764,959,103,1650,3960,20.5,2054,370,0.22,4,0.076
259,"Ti-6Al-4V, Bimodal, 30% Alpha",Cleaned in Acetone,,Al2O3,Spherical,300,,,33,,,,90,,,,,,3,,Air,RT,,No,2015,17,Gas Blast,5,,,,,2.6,0,1,4430,114,0.342,D,6.8,725,915,103,1650,3960,20.5,2054,370,0.22,4,0.046
260,"Ti-6Al-4V, Bimodal, 30% Alpha",Cleaned in Acetone,,Al2O3,Spherical,400,,,47,,,,30,,,,,,3,,Air,RT,,No,2015,17,Gas Blast,5,,,,,2.6,0,1,4430,114,0.342,D,6.8,725,915,103,1650,3960,20.5,2054,370,0.22,4,0.071
261,"Ti-6Al-4V, Bimodal, 30% Alpha",Cleaned in Acetone,,Al2O3,Spherical,200,,,57,,,,60,,,,,,3,,Air,RT,,No,2015,17,Gas Blast,5,,,,,2.6,0,1,4430,114,0.342,D,6.8,725,915,103,1650,3960,20.5,2054,370,0.22,4,0.077
262,Ti-6Al-4V,,,SiC,Angular,175,,,70,,,,90,,,2.5,,,7.4,,,RT,0.056,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.2463266
263,Ti-6Al-4V,,,SiC,Angular,175,,,105,,,,20,,,2.5,,,7.4,,,RT,0.238,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,1.0498384
264,Ti-6Al-4V,,,SiC,Angular,175,,,105,,,,30,,,2.5,,,7.4,,,RT,0.225,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.9945
265,Ti-6Al-4V,,,SiC,Angular,175,,,105,,,,45,,,2.5,,,7.4,,,RT,0.193,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.85306
266,Ti-6Al-4V,,,SiC,Angular,175,,,105,,,,60,,,2.5,,,7.4,,,RT,0.162,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.714935
267,Ti-6Al-4V,,,SiC,Angular,175,,,105,,,,75,,,2.5,,,7.4,,,RT,0.143,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.6328114
268,Ti-6Al-4V,,,SiC,Angular,175,,,105,,,,90,,,2.5,,,7.4,,,RT,0.138,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,0.608634
269,Ti-6Al-4V,,,SiC,Angular,175,,,150,,,,20,,,2.5,,,7.4,,,RT,0.54013,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,2.3873746
270,Ti-6Al-4V,,,SiC,Angular,175,,,150,,,,30,,,2.5,,,7.4,,,RT,0.51852,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,2.2918584
271,Ti-6Al-4V,,,SiC,Angular,175,,,150,,,,45,,,2.5,,,7.4,,,RT,0.44793,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,1.9798506
272,Ti-6Al-4V,,,SiC,Angular,175,,,150,,,,60,,,2.5,,,7.4,,,RT,0.36343,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,1.6063606
273,Ti-6Al-4V,,,SiC,Angular,175,,,150,,,,75,,,2.5,,,7.4,,,RT,0.32755,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,1.447771
274,Ti-6Al-4V,,,SiC,Angular,175,,,150,,,,90,,,2.5,,,7.4,,,RT,0.30556,Yes,2019,18,Gas Blast,5,,,,,3.1,1,0,4430,114,0.342,D,6.8,830,900,103,1650,3100,25.5,2797,410,0.14,4.6,1.3505752
